facility_id,date,equipment_type,power_output_kw,temperature_c,maintenance_cost,last_maintenance,status,notes
SF001,2024-01-01,Inverter,450.5,28.3,1200.00,2023-12-15,operational,Normal operation
SF001,2024-01-02,Inverter,448.2,29.1,,2023-12-15,operational,Missing maintenance cost
SF001,2024-01-03,Inverter,-50.0,30.2,0,2023-12-15,operational,NEGATIVE OUTPUT - ERROR
SF002,2024-01-01,Panel Array,1250.0,26.8,800.00,2023-11-20,operational,
SF002,2024-01-02,Panel Array,1245.3,27.5,800.00,13/11/2023,operational,Date format different
SF002,2024-01-03,Panel Array,1248.9,,800.00,2023-11-13,operational,Missing temperature
SF003,2024-01-01,Battery,325.0,22.1,500.00,2023-10-30,maintenance,"Scheduled maintenance, 2 days downtime"
SF003,2024-01-02,Battery,0,22.3,,2023-10-30,DOWN,Offline for upgrades
SF003,2024-01-03,Battery,328.5,22.0,500.00,2023-10-30,OPERATIONAL,Status value inconsistent
SF001,2024-01-04,Inverter,452.1,28.9,1200.00,2023-12-15,operational,
SF001,2024-01-05,Inverter,451.8,29.5,1200.00,2023-12-15,operational,
SF002,2024-01-04,Panel Array,1251.2,27.2,800.00,2023-11-20,operational,
SF002,2024-01-05,Panel Array,2500.0,28.1,800.00,2023-11-20,operational,OUTLIER - CHECK DATA
SF003,2024-01-04,Battery,330.2,22.4,0.00,2023-10-30,operational,Cost should not be 0
SF003,2024-01-05,Battery,329.8,22.2,500.00,2023-10-30,operational,
SF001,2024-01-06,Inverter,,30.1,1200.00,2023-12-15,operational,Blank power output
SF002,2024-01-06,Panel Array,1249.5,27.9,800.00,2023-11-20,operational,
SF003,2024-01-06,Battery,331.0,22.5,500.00,2023-10-30,operational,
SF001,2024-01-07,Inverter,449.3,28.7,1200.00,2023-12-15,operational,
SF002,2024-01-07,Panel Array,1246.8,26.5,800.00,2023-11-20,operational,
SF003,2024-01-07,Battery,330.5,23.1,500.00,2023-10-30,operational,
